date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:39	156/156	---M-Z	200	added ('OK')	text/plain	etag:%229a9493704b63d31:0%22	https://sainitravels.com/robots.txt		(from )
13:31:41	172727/172727	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:40%20GMT	https://sainitravels.com/	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.html	(from )
13:31:44	172737/172737	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:44%20GMT	https://sainitravels.com/index.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index-2.html	(from https://sainitravels.com/)
13:31:44	22346/22346	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2011%20Sep%202013%2017:03:38%20GMT	https://sainitravels.com/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZIE4k3NDe5hw7u4R-Hml9kXHPIg7FaM8fMNH9RSe8xMrnocIht-ErwN1RkR7jLiWSA2&t=635145356180000000	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/WebResource8a0c.js	(from https://sainitravels.com/)
13:31:45	26954/26954	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Mar%202018%2005:05:18%20GMT	https://sainitravels.com/ScriptResource.axd?d=nv7asgRUU0tRmHNR2D6t1OVUhVG3vhCuO0doFMX9TD7YS7qTlm3_vH4BqvfN2ldApj4CSxka-JHjHWGy5i-R9svP6zwbtI0bZSFZvaG_Vh9omSKc8ErNtB7MeANPCESHl6JVVBwZW1zgitdOxP-RDw2&t=b2ad012	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/ScriptResource6691.js	(from https://sainitravels.com/)
13:31:46	365347/365347	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Mar%202018%2005:04:26%20GMT	https://sainitravels.com/ScriptResource.axd?d=yeSNAJTOPtPimTGCAo3LlZgDCt44cDnsOxqjNPnhZI-1zVr_MR3P_EJhZymDkRwEaGf7MaDuboqw_ooadRrIPmRxxtI9Kp7H1DxC2fBE_9Us8JNlWeVQ0e9btx95POSf0&t=33ed45	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/ScriptResource6c1c.js	(from https://sainitravels.com/)
13:31:47	95640/95640	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Mar%202018%2005:04:26%20GMT	https://sainitravels.com/ScriptResource.axd?d=DT3YJR8QaqV61-teuz0hgjN_hEqq8ua-2U8XHz2lfVIWuaclS44EWZkkB4qiBJsS8kkhSQn6C1IKaMBXX5zdi97l1BBM8aFWPKHrWBbMd1bwWpxzLACV_OeEd4G-eIjlT53FkLchBPOqOFHFfeFMHw2&t=33ed45	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/ScriptResource1495.js	(from https://sainitravels.com/)
13:31:51	56254/56254	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:51%20GMT	https://sainitravels.com/agent-sign-in.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/agent-sign-in.html	(from https://sainitravels.com/)
13:31:53	87259/87259	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:53%20GMT	https://sainitravels.com/agent-register.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/agent-register.html	(from https://sainitravels.com/)
13:31:54	61981/61981	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:54%20GMT	https://sainitravels.com/about-saini.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/about-saini.html	(from https://sainitravels.com/)
13:31:55	62619/62619	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:55%20GMT	https://sainitravels.com/My-booking.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/My-booking.html	(from https://sainitravels.com/)
13:31:56	62623/62623	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:56%20GMT	https://sainitravels.com/My-Cancellation.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/My-Cancellation.html	(from https://sainitravels.com/)
13:31:57	152/152	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:01:57%20GMT	https://sainitravels.com/My-Account.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/My-Account.10.delayed	(from https://sainitravels.com/)
13:31:58	72971/72971	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:57%20GMT	https://sainitravels.com/Login.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/Login.html	(from https://sainitravels.com/)
13:31:59	52024/52024	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:01:59%20GMT	https://sainitravels.com/comingsoon.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/comingsoon.html	(from https://sainitravels.com/)
13:32:01	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:00%20GMT	https://sainitravels.com/index.aspx?fc=14&tc=15	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.13e01e.delayed	(from https://sainitravels.com/)
13:32:03	253301/253301	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:02%20GMT	https://sainitravels.com/AvailableRoutes.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/AvailableRoutes.html	(from https://sainitravels.com/)
13:32:04	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:04%20GMT	https://sainitravels.com/index.aspx?fc=198&tc=15	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.15cc9f.delayed	(from https://sainitravels.com/)
13:32:05	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:05%20GMT	https://sainitravels.com/index.aspx?fc=71&tc=15	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.169963.delayed	(from https://sainitravels.com/)
13:32:07	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:06%20GMT	https://sainitravels.com/index.aspx?fc=15&tc=14	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.17655c.delayed	(from https://sainitravels.com/)
13:32:09	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:08%20GMT	https://sainitravels.com/index.aspx?fc=21&tc=15	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.18e520.delayed	(from https://sainitravels.com/)
13:32:11	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:10%20GMT	https://sainitravels.com/index.aspx?fc=15&tc=71	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.19b524.delayed	(from https://sainitravels.com/)
13:32:13	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:13%20GMT	https://sainitravels.com/index.aspx?fc=15&tc=198	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.1a4523.delayed	(from https://sainitravels.com/)
13:32:14	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:14%20GMT	https://sainitravels.com/index.aspx?fc=155&tc=15	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.1b5f6f.delayed	(from https://sainitravels.com/)
13:32:16	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:16%20GMT	https://sainitravels.com/index.aspx?fc=15&tc=21	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.1c104b.delayed	(from https://sainitravels.com/)
13:32:18	162/162	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:18%20GMT	https://sainitravels.com/index.aspx?fc=14&tc=202	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/index.1d3e60.delayed	(from https://sainitravels.com/)
13:32:23	67217/67217	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:23%20GMT	https://sainitravels.com/enquiry.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/enquiry.html	(from https://sainitravels.com/)
13:32:24	77380/77380	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:24%20GMT	https://sainitravels.com/our-coverage.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/our-coverage.html	(from https://sainitravels.com/)
13:32:25	152/152	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:25%20GMT	https://sainitravels.com/my-account.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/my-account.20.delayed	(from https://sainitravels.com/)
13:32:26	84097/84097	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:25%20GMT	https://sainitravels.com/BusCharter.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/BusCharter.html	(from https://sainitravels.com/)
13:32:27	83926/83926	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:26%20GMT	https://sainitravels.com/news-and-scheme.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/news-and-scheme.html	(from https://sainitravels.com/)
13:32:27	157/157	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Mar%202018%2008:02:27%20GMT	https://sainitravels.com/Cancellation.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/Cancellation.23.delayed	(from https://sainitravels.com/)
13:32:28	62619/62619	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:28%20GMT	https://sainitravels.com/My-Booking.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/My-Booking-2.html	(from https://sainitravels.com/)
13:32:29	55609/55609	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:29%20GMT	https://sainitravels.com/privacy-policy.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/privacy-policy.html	(from https://sainitravels.com/)
13:32:31	59279/59279	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:30%20GMT	https://sainitravels.com/terms-and-conditions.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/terms-and-conditions.html	(from https://sainitravels.com/)
13:32:32	56103/56103	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:31%20GMT	https://sainitravels.com/photo-gallery.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/photo-gallery.html	(from https://sainitravels.com/)
13:32:33	116073/116073	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:32%20GMT	https://sainitravels.com/ContactUs.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/ContactUs.html	(from https://sainitravels.com/)
13:32:34	58471/58471	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:33%20GMT	https://sainitravels.com/FAQ.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/FAQ.html	(from https://sainitravels.com/)
13:32:35	51174/51174	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Mar%202018%2008:02:34%20GMT	https://sainitravels.com/FLT.aspx	C:/Users/Busflix/Desktop/saini%20travel%20scrap/sainitravels.com/FLT.html	(from https://sainitravels.com/)
